2025-11-07 01:25:07 - Temp: 24.7°C, Humidity: 54.2%, Motion: True
2025-11-07 01:25:09 - Temp: 21.2°C, Humidity: 62.1%, Motion: True
2025-11-07 01:25:10 - Temp: 23.1°C, Humidity: 50.7%, Motion: True
2025-11-07 01:25:11 - Temp: 22.1°C, Humidity: 60.1%, Motion: True
2025-11-07 01:25:12 - Temp: 25.1°C, Humidity: 49.5%, Motion: True
2025-11-07 01:25:14 - Temp: 22.0°C, Humidity: 58.3%, Motion: True
2025-11-07 01:25:16 - Temp: 22.9°C, Humidity: 58.3%, Motion: True
2025-11-07 01:25:17 - Temp: 24.1°C, Humidity: 51.8%, Motion: True
2025-11-07 01:25:18 - Temp: 24.6°C, Humidity: 46.8%, Motion: True
2025-11-07 01:25:20 - Temp: 24.1°C, Humidity: 50.7%, Motion: True
2025-11-07 01:25:22 - Temp: 23.4°C, Humidity: 53.7%, Motion: True
2025-11-07 01:25:23 - Temp: 21.4°C, Humidity: 61.7%, Motion: True
2025-11-07 01:25:24 - Temp: 23.5°C, Humidity: 49.8%, Motion: True
2025-11-07 01:25:26 - Temp: 22.7°C, Humidity: 51.0%, Motion: True
2025-11-07 01:25:27 - Temp: 24.0°C, Humidity: 51.6%, Motion: True
2025-11-07 01:25:29 - Temp: 25.0°C, Humidity: 51.2%, Motion: True
2025-11-07 01:25:30 - Temp: 21.6°C, Humidity: 60.6%, Motion: True
2025-11-07 01:25:32 - Temp: 24.4°C, Humidity: 50.9%, Motion: True
2025-11-07 01:25:33 - Temp: 23.2°C, Humidity: 55.4%, Motion: True
2025-11-07 01:25:34 - Temp: 21.4°C, Humidity: 52.8%, Motion: True
2025-11-07 01:25:36 - Temp: 23.4°C, Humidity: 48.6%, Motion: True
2025-11-07 01:25:38 - Temp: 24.3°C, Humidity: 51.1%, Motion: True
2025-11-07 01:25:39 - Temp: 21.9°C, Humidity: 59.6%, Motion: True
2025-11-07 01:25:40 - Temp: 23.0°C, Humidity: 50.5%, Motion: True
2025-11-07 01:25:41 - Temp: 22.4°C, Humidity: 52.1%, Motion: True
2025-11-07 01:25:44 - Temp: 21.3°C, Humidity: 53.0%, Motion: True
2025-11-07 01:25:45 - Temp: 23.6°C, Humidity: 54.7%, Motion: True
2025-11-07 01:25:46 - Temp: 24.1°C, Humidity: 55.3%, Motion: True
2025-11-07 01:25:47 - Temp: 21.9°C, Humidity: 54.8%, Motion: True
2025-11-07 01:25:49 - Temp: 24.8°C, Humidity: 51.7%, Motion: True
2025-11-07 01:25:51 - Temp: 23.7°C, Humidity: 51.4%, Motion: True
2025-11-07 01:25:52 - Temp: 24.1°C, Humidity: 56.0%, Motion: True
2025-11-07 01:25:53 - Temp: 21.8°C, Humidity: 57.4%, Motion: True
2025-11-07 01:25:55 - Temp: 24.2°C, Humidity: 47.7%, Motion: True
2025-11-07 01:25:56 - Temp: 23.4°C, Humidity: 55.1%, Motion: True
2025-11-07 01:25:58 - Temp: 22.0°C, Humidity: 58.6%, Motion: True
2025-11-07 01:25:59 - Temp: 22.6°C, Humidity: 59.0%, Motion: True
2025-11-07 01:26:01 - Temp: 21.8°C, Humidity: 59.8%, Motion: True
2025-11-07 01:26:02 - Temp: 24.9°C, Humidity: 49.6%, Motion: True
2025-11-07 01:26:03 - Temp: 25.0°C, Humidity: 53.7%, Motion: True
